Year,ID,STATION NAME,STATION LOCATION,AIR INTAKE,Ambient,Road-side,CAAQS,NAPS,AQHI/AQI,O3,PM2.5,NO2,SO2,CO,TRS,,
2022,12008,WINDSOR DOWNTOWN,467 UNIVERSITY AVE. W. ,4,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2022,12016,WINDSOR WEST,COLLEGE AVE./SOUTH ST.,4,Y,N,N,Y,Y,R,R,R,R,NR,R,,
2022,13001,CHATHAM,435 GRAND AVE. W.,15,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,14111,SARNIA,700 CHRISTINA ST. N.,3,Y,N,Y,Y,Y,R,R,R,R,NR,R,,
2022,15020,GRAND BEND,POINT BLAKE CONSERVATION AREA,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2022,15026,LONDON,42 ST. JULIEN ST.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,16015,PORT STANLEY,"43665 DEXTER LINE, ELGIN WATER T. PLANT",5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2022,18007,TIVERTON,4th CONCESSION/BRUCE RD. 23,4,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2022,21005,BRANTFORD,324 GRAND RIVER AVE.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,26060,KITCHENER,WEST AVE./HOMEWOOD AVE. ,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,27067,ST. CATHARINES,"ARGYLE CRES., PUMP STN.",4,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,28028,GUELPH,EXHIBITION ST./CLARK ST. W. ,4,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,29000,HAMILTON DOWNTOWN,ELGIN ST./KELLY ST. ,4,Y,Y,Y,Y,Y,R,R,R,R,R,R,,
2022,29118,HAMILTON WEST,MAIN ST. W./HWY 403,3,Y,Y,N,Y,Y,R,R,R,NR,NR,NR,,
2022,29214,HAMILTON MOUNTAIN,250 FENNELL AVE. W.,3,Y,N,Y,Y,Y,R,R,R,R,NR,NR,,
2022,31129,TORONTO DOWNTOWN,"55 JOHN ST., METRO HALL",2,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,33003,TORONTO EAST,KENNEDY RD./LAWRENCE AVE. E. ,4,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,34021,TORONTO NORTH,"4905 DUFFERIN ST., ECCC",5,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
