 Country ,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 Afghanistan ,1731435587.0,1812837521.0,1647900178.0,1702716294.0,2061729287.0,2319753506.0,2513580659.0,2864939207.0,3222963833.0,3630767856.0,3646796868.0,3427482014.0,3430645143.0,3408204613.0,3369110951.0,3330465681.0,3320888887.0,2983743471.0,2713899488.0,3191557068.0,3559511736.0,3402654940.0,3444711414.0,2844442641.0,1715169169.0,2756838036.0,2669785634.0,2924589326.0,2935139404.0,2157197316.0,3342034168.0,3598470576.0,4141523943.0,4729042179.0,5388482107.0,6220574147.0,7104711445.0,9412161765.0,10236901594.0,11595133469.0,14698889678.0,17350694945.0,19136499341.0,19621802455.0,19550702567.0,18713048410.0,18019558182.0,18896352021.0,18418848300.0,18904490263.0,20143441792.0,14939009447.0
 Albania ,2265577056.0,2330584860.0,2397526448.0,2466543461.0,2537015817.0,2610110369.0,2685745678.0,2760746397.0,2842275926.0,2372305641.0,2141837051.0,2215474766.0,2280424885.0,2305384485.0,2275736342.0,2324414456.0,2397086883.0,2378194810.0,2460399974.0,2940586487.0,2145751209.0,1597139589.0,1516132824.0,1700439125.0,1880950821.0,2392764887.0,3199642024.0,2224654241.0,2554868837.0,3221670165.0,3487586302.0,3926887597.0,4355865889.0,5561459461.0,7177030365.0,8052079314.0,8896076004.0,10677322220.0,12881352058.0,12044210390.0,11926948284.0,12890873323.0,12319779604.0,12776280738.0,13228240079.0,11386924853.0,11861356451.0,13019729856.0,15156439968.0,15401826080.0,15131866271.0,18260043500.0
 Algeria ,5155120658.0,5363676160.0,7176428384.0,9229622200.0,13259764650.0,15555547083.0,17750032488.0,20990939140.0,26373761387.0,33201433009.0,42252197741.0,44264573122.0,45094842770.0,48702201863.0,52827902259.0,57866207279.0,62922803868.0,64333578322.0,58655419182.0,55344476937.0,61751375957.0,46565003199.0,49105553595.0,50846930343.0,42330711146.0,41971488420.0,46836290499.0,48068457028.0,48079007974.0,48531031757.0,54666896857.0,55056733057.0,56819210891.0,67863851626.0,85332517817.0,103000000000.0,117000000000.0,135000000000.0,171000000000.0,137000000000.0,161000000000.0,200000000000.0,209000000000.0,210000000000.0,214000000000.0,166000000000.0,160000000000.0,170000000000.0,175000000000.0,172000000000.0,146000000000.0,163000000000.0
 Andorra ,99476787.0,113128492.0,143506004.0,190863792.0,236055468.0,278514317.0,287588366.0,321390137.0,389745929.0,520742333.0,564812657.0,492189978.0,475654368.0,414836776.0,417649689.0,438742504.0,609881940.0,773493497.0,912838474.0,1006552718.0,1302006184.0,1400576915.0,1531034035.0,1274297409.0,1287524766.0,1491495988.0,1548787643.0,1493901088.0,1533515782.0,1568801032.0,1429044662.0,1546913267.0,1755992896.0,2361635625.0,2895042252.0,3159831266.0,3456261316.0,3952395237.0,4085783663.0,3674186277.0,3446565601.0,3624386229.0,3188830334.0,3192603086.0,3267334446.0,2788757749.0,2894646184.0,3000160225.0,3218419456.0,3155151912.0,2890997547.0,3324647529.0
 Angola ,3806982080.0,4007445384.0,4102154515.0,5016276243.0,5626960654.0,4147433125.0,3980906823.0,4344224828.0,4845481540.0,5380155365.0,7151262407.0,6693017100.0,6693017100.0,6975014062.0,7393602901.0,9109025042.0,8548514005.0,9843778337.0,10627491537.0,12367075841.0,13661852350.0,16182941506.0,18586043029.0,13468133856.0,13860715824.0,6642229262.0,8725773842.0,10226790656.0,8617787794.0,8227190091.0,12207354573.0,11948601236.0,15285592487.0,17812704626.0,23552045850.0,36970878079.0,52381025105.0,65266415707.0,88538664888.0,70307193221.0,83799478930.0,112000000000.0,128000000000.0,137000000000.0,146000000000.0,116000000000.0,101000000000.0,122000000000.0,101000000000.0,83136743579.0,54821080252.0,70533243177.0
 Anguilla ,3902380.0,4589878.0,5416747.0,6129013.0,6749690.0,7371447.0,7058818.0,7889455.0,9103205.0,10504179.0,12122529.0,13988466.0,16142467.0,18629156.0,21625990.0,27126450.0,35064533.0,43734775.0,54742893.0,68125906.0,75601760.0,77720091.0,84450416.0,92101084.0,102769858.0,103736474.0,109541316.0,122672906.0,138637505.0,147301063.0,150237784.0,154928094.0,157629239.0,170706104.0,201105003.0,228994349.0,283103704.0,354611111.0,355859259.0,284392593.0,269518519.0,293225926.0,284511111.0,286185185.0,315674074.0,330533333.0,318751852.0,281055556.0,322455556.0,376729630.0,258440741.0,302714815.0
 Antigua and Barbuda ,33865823.0,41156057.0,56405489.0,78360329.0,83529500.0,85416591.0,71000877.0,80823635.0,91503578.0,112682448.0,134449620.0,152098678.0,168525878.0,187261032.0,211924459.0,244778860.0,290440741.0,337174074.0,398637037.0,438796296.0,459470370.0,481707407.0,499281481.0,535174074.0,589429630.0,577281481.0,633729630.0,680618519.0,727859259.0,766200000.0,783837037.0,773766667.0,802529630.0,839996296.0,898355556.0,1014981481.0,1149025926.0,1302388889.0,1370070370.0,1228329630.0,1148700000.0,1137637037.0,1199948148.0,1181448148.0,1249733333.0,1336692593.0,1436585185.0,1467977778.0,1605944444.0,1687533333.0,1370351852.0,1421200000.0
 Argentina ,33984527481.0,40656247705.0,38310468037.0,43140630753.0,48535084322.0,51660389690.0,54697557257.0,61570256911.0,63778202228.0,73916297161.0,81764369519.0,84652806574.0,87041466175.0,94170342210.0,99524448940.0,95529910653.0,115000000000.0,118000000000.0,138000000000.0,83044458652.0,153000000000.0,206000000000.0,248000000000.0,257000000000.0,279000000000.0,280000000000.0,295000000000.0,318000000000.0,324000000000.0,307000000000.0,308000000000.0,291000000000.0,111000000000.0,140000000000.0,166000000000.0,201000000000.0,234000000000.0,290000000000.0,366000000000.0,336000000000.0,426000000000.0,530000000000.0,581000000000.0,613000000000.0,567000000000.0,645000000000.0,558000000000.0,644000000000.0,525000000000.0,448000000000.0,386000000000.0,487000000000.0
 Aruba ,197623955.0,208158924.0,219255492.0,230943598.0,243254775.0,256222239.0,269880974.0,284267831.0,299421624.0,315383239.0,332195737.0,349904480.0,368557242.0,388204349.0,408898807.0,430696447.0,453656081.0,545558022.0,667313461.0,777947008.0,855800245.0,975799596.0,1072384439.0,1211700758.0,1393884833.0,1383932694.0,1445987206.0,1605221425.0,1745136786.0,1805323808.0,1873452514.0,1896456983.0,1961843575.0,2044111732.0,2254830726.0,2360016760.0,2469782123.0,2677642458.0,2843022346.0,2553793296.0,2453597765.0,2637860335.0,2615206704.0,2727849162.0,2790849162.0,2962905028.0,2983636872.0,3092430168.0,3202189944.0,3368970253.0,2610038937.0,3126019399.0
 Australia ,45216647240.0,50469583098.0,59402802259.0,85802769997.0,102000000000.0,109000000000.0,118000000000.0,116000000000.0,136000000000.0,150000000000.0,173000000000.0,202000000000.0,192000000000.0,193000000000.0,207000000000.0,182000000000.0,191000000000.0,227000000000.0,288000000000.0,320000000000.0,324000000000.0,330000000000.0,326000000000.0,317000000000.0,363000000000.0,392000000000.0,436000000000.0,437000000000.0,390000000000.0,427000000000.0,410000000000.0,391000000000.0,436000000000.0,560000000000.0,680000000000.0,763000000000.0,820000000000.0,987000000000.0,1060000000000.0,1020000000000.0,1300000000000.0,1550000000000.0,1590000000000.0,1540000000000.0,1460000000000.0,1250000000000.0,1310000000000.0,1410000000000.0,1450000000000.0,1380000000000.0,1430000000000.0,1730000000000.0
