Year,Station Number,City,Location,Type,Valid Hour,10th Percentile,30th Percentile,50th Percentile,70th Percentile,90th Percentile,99 Percentile,Mean,1-Hour Maximum,24-Hour  Maximum,No. of Times Above 1-Hour Criterion,
2022,12008,Windsor Downtown,467 University Ave. W.,A,8529,14,23,30,36,47,65,30.4,84,58.2,4,
2022,12016,Windsor West,College Ave./South St.,A,8682,13,23,29,36,47,63,29.5,81,56.8,1,
2022,13001,Chatham,435 Grand Ave. W.,A,8671,17,25,31,37,46,63,31.6,85,57.9,3,
2022,14111,Sarnia,700 Christina St. N.,A,8613,16,25,31,37,45,62,31.0,97,54.6,5,
2022,15020,Grand Bend,Point Blake Conservation Area,A,8656,18,27,32,37,44,62,31.9,92,60.9,7,
2022,15026,London,42 St. Julien St.,A,8668,12,24,30,36,45,59,29.6,89,60.1,4,
2022,16015,Port Stanley,"43665 Dexter Line, Elgin Water T. Plt",A,8678,17,26,31,36,44,60,31.1,89,60.9,6,
2022,18007,Tiverton,4th Concession/Bruce Rd. 23,A,8616,19,26,32,37,45,61,31.9,85,63.1,6,
2022,21005,Brantford,324 Grand River Ave.,A,8596,11,22,30,36,45,60,29.0,90,60.4,6,
2022,26060,Kitchener,West Ave./Homewood Ave.,A,8558,14,24,29,35,43,58,28.9,79,55.5,0,
2022,27067,St. Catharines,"Argyle Cres., Pump Stn.",A,8649,14,24,30,36,44,59,29.8,84,59.0,1,
2022,28028,Guelph,Exhibition St./Clark St. W.,A,8672,14,25,31,37,46,63,30.9,82,58.1,2,
2022,29000,Hamilton Downtown,Elgin St./Kelly St.,A,8626,9,20,26,32,41,56,25.9,84,57.1,3,
2022,29118,Hamilton West,Main St. W./Hwy 403,A,8666,6,19,26,32,41,56,25.2,82,61.6,2,
2022,29214,Hamilton Mountain,250 Fennell Ave. W.,A,8677,14,23,28,33,42,57,28.2,81,57.9,1,
2022,31129,Toronto Downtown,55 John St.,A,8581,10,18,24,30,38,54,24.3,72,47.4,0,
2022,33003,Toronto East,Kennedy Rd./Lawrence Ave. E.,A,8673,10,20,25,31,39,53,25.1,77,49.0,0,
2022,34021,Toronto North,"4905 Dufferin St., Eccc",A,8726,8,18,25,30,40,58,24.3,81,47.6,2,
2022,35125,Toronto West,125 Resources Rd.,A,8606,5,15,22,28,38,55,22.0,70,45.0,0,
2022,44008,Burlington,North Shore Blvd. E./Lakeshore Rd.,A,8692,10,21,27,33,41,56,26.6,79,54.8,0,
2022,44017,Oakville,"Eighth Line/Glenashton Dr., Halton Res.",A,8680,13,22,28,34,43,58,28.1,83,56.8,3,
2022,44029,Milton,1120 Main St. E.,A,8634,9,21,28,34,44,60,27.6,81,57.8,1,
2022,45027,Oshawa,"Brittania Ave. W., Ep Taylor Stables",A,8718,10,21,28,33,40,53,26.6,80,46.1,0,
2022,46090,Brampton,109 Mclaughlin Rd. S.,A,8693,10,21,28,33,42,58,27.0,75,52.2,0,
2022,46108,Mississauga,"3359 Mississauga Rd. N., U Of T Campus",A,8626,7,20,26,32,41,57,25.7,80,55.0,0,
2022,47045,Barrie,83 Perry St.,A,8513,11,20,26,31,39,52,25.3,71,43.7,0,
2022,48006,Newmarket,Eagle St. W./Mccaffrey Rd.,A,8693,13,23,28,34,42,58,28.1,90,51.3,2,
2022,49005,Parry Sound,7 Bay St.,A,8480,16,24,30,35,44,57,29.9,73,52.5,0,
2022,49010,Dorset,1026 Bellwood Acres Rd.,A,8693,9,21,27,33,41,54,26.3,64,44.2,0,
2022,51001,Ottawa Downtown,Rideau St./Wurtemburg St.,A,8755,12,21,26,32,40,52,26.1,61,48.9,0,
2022,52023,Kingston,23 Beechgrove Lane,A,8687,17,25,30,35,42,56,29.9,79,57.1,0,
2022,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8693,15,25,31,36,44,59,30.3,96,62.1,7,
2022,56051,Cornwall,Bedford St./3rd St. W.,A,8690,11,21,27,32,40,51,26.3,66,53.3,0,
2022,59006,Peterborough,10 Hospital Dr.,A,8603,13,22,28,33,41,54,27.4,79,51.9,0,
2022,63203,Thunder Bay,421 James St. S.,A,8347,8,19,26,31,38,45,24.6,58,45.0,0,
2022,71078,Sault Ste. Marie,Sault College,A,8745,15,24,29,34,42,55,28.8,75,57.4,0,
2022,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8745,10,21,28,33,43,57,27.2,72,49.7,0,
2022,77233,Sudbury,155 Elm St.,A,8690,12,21,26,30,38,53,25.6,64,49.3,0,
2021,12008,Windsor Downtown,467 University Ave. W.,A,8689,13,22,28,35,46,64,28.8,82,56.1,2,
2021,12016,Windsor West,College Ave./South St.,A,8680,13,23,29,35,46,64,29.4,86,57.0,2,
2021,13001,Chatham,435 Grand Ave. W.,A,8745,17,24,30,35,46,62,30.4,75,59.9,0,
2021,14111,Sarnia,700 Christina St. N.,A,8445,15,23,28,36,47,68,30.2,97,57.8,6,
2021,15020,Grand Bend,Point Blake Conservation Area,A,8618,17,26,32,37,45,66,32.0,104,62.1,18,
2021,15026,London,42 St. Julien St.,A,8675,11,22,29,35,45,61,28.9,78,59.8,0,
2021,16015,Port Stanley,"43665 Dexter Line, Elgin Water T. Plt",A,8688,18,25,31,36,46,63,31.4,74,58.7,0,
2021,18007,Tiverton,4th Concession/Bruce Rd. 23,A,8593,19,27,32,37,45,64,32.4,78,64.5,0,
2021,21005,Brantford,324 Grand River Ave.,A,8660,11,22,29,35,45,62,28.5,79,61.2,0,
2021,26060,Kitchener,West Ave./Homewood Ave.,A,8693,14,23,28,34,42,60,28.4,81,58.3,1,
2021,27067,St. Catharines,"Argyle Cres., Pump Stn.",A,8645,13,24,30,36,45,62,29.8,73,61.7,0,
2021,28028,Guelph,Exhibition St./Clark St. W.,A,8676,13,23,30,35,44,63,29.5,83,61.1,4,
2021,29000,Hamilton Downtown,Elgin St./Kelly St.,A,8623,10,19,26,32,43,60,26.4,80,61.9,0,
2021,29118,Hamilton West,Main St. W./Hwy 403,A,8683,6,18,25,31,41,58,24.9,78,59.8,0,
